"Post ID",Title,URL,Categories,"Category URLs",Tags,"Tag URLs",Author,"Published Date","Modified Date",Status
2,範例頁面,https://blog-legacy.yuaner.tw/sample-page/,,,,,元兒～,"2018-12-10 19:51:06","2018-12-10 19:51:06",Publish
40,Firefox將分頁列移到網址下方,https://blog-legacy.yuaner.tw/old/firefox%e5%b0%87%e5%88%86%e9%a0%81%e5%88%97%e7%a7%bb%e5%88%b0%e7%b6%b2%e5%9d%80%e4%b8%8b%e6%96%b9/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,Firefox,https://blog-legacy.yuaner.tw/tag/firefox/,元兒～,"2012-11-05 19:35:00","2018-12-11 01:59:42",Publish
41,在Ubuntu建置Android開發環境（用套件管理程式安裝Eclipse）,https://blog-legacy.yuaner.tw/old/%e5%9c%a8ubuntu%e5%bb%ba%e7%bd%aeandroid%e9%96%8b%e7%99%bc%e7%92%b0%e5%a2%83%ef%bc%88%e7%94%a8%e5%a5%97%e4%bb%b6%e7%ae%a1%e7%90%86%e7%a8%8b%e5%bc%8f%e5%ae%89%e8%a3%9declipse%ef%bc%89/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,"Android, 玩Linux的日記, 軟體相關","https://blog-legacy.yuaner.tw/tag/android/, https://blog-legacy.yuaner.tw/tag/linux/, https://blog-legacy.yuaner.tw/tag/software/",元兒～,"2012-08-29 17:43:00","2018-12-11 01:59:42",Publish
42,在Windows用XAMPP包架設Apache、MySQL伺服器,https://blog-legacy.yuaner.tw/old/%e5%9c%a8windows%e7%94%a8xampp%e5%8c%85%e6%9e%b6%e8%a8%adapache%e3%80%81mysql%e4%bc%ba%e6%9c%8d%e5%99%a8/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,,,元兒～,"2012-08-21 23:50:00","2018-12-11 01:59:42",Publish
43,"在Linux Ubuntu上架MySQL資料庫",https://blog-legacy.yuaner.tw/old/%e5%9c%a8linux-ubuntu%e4%b8%8a%e6%9e%b6mysql%e8%b3%87%e6%96%99%e5%ba%ab/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,"MySQL, 架站, 玩Linux的日記","https://blog-legacy.yuaner.tw/tag/mysql/, https://blog-legacy.yuaner.tw/tag/hosting-websites/, https://blog-legacy.yuaner.tw/tag/linux/",元兒～,"2012-08-08 01:27:00","2018-12-11 01:59:42",Publish
44,"MIUI 2.3.30 for HTC Desire HD 刷機後試玩心得",https://blog-legacy.yuaner.tw/old/miui-2-3-30-for-htc-desire-hd-%e5%88%b7%e6%a9%9f%e5%be%8c%e8%a9%a6%e7%8e%a9%e5%bf%83%e5%be%97/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,"HTC Desire HD, 玩刷機","https://blog-legacy.yuaner.tw/tag/htc-desire-hd/, https://blog-legacy.yuaner.tw/tag/flash-rom/",元兒～,"2012-04-20 01:13:00","2018-12-11 01:59:41",Publish
46,"在Ubuntu 11.10增強nautilus檔案總管的外掛",https://blog-legacy.yuaner.tw/old/%e5%9c%a8ubuntu-11-10%e5%a2%9e%e5%bc%b7nautilus%e6%aa%94%e6%a1%88%e7%b8%bd%e7%ae%a1%e7%9a%84%e5%a4%96%e6%8e%9b/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,,,元兒～,"2012-01-11 23:15:00","2018-12-11 01:59:41",Publish
47,"將Ubuntu Unity的Launcher移到下方",https://blog-legacy.yuaner.tw/old/%e5%b0%87ubuntu-unity%e7%9a%84launcher%e7%a7%bb%e5%88%b0%e4%b8%8b%e6%96%b9/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,"玩Linux的日記, 軟體相關","https://blog-legacy.yuaner.tw/tag/linux/, https://blog-legacy.yuaner.tw/tag/software/",元兒～,"2012-01-09 23:49:00","2018-12-11 01:59:44",Publish
48,讓PG1910手機連接電腦傳輸資料,https://blog-legacy.yuaner.tw/old/%e8%ae%93pg1910%e6%89%8b%e6%a9%9f%e9%80%a3%e6%8e%a5%e9%9b%bb%e8%85%a6%e5%82%b3%e8%bc%b8%e8%b3%87%e6%96%99/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,,,元兒～,"2011-12-31 18:32:00","2018-12-11 01:59:44",Publish
49,"關於Carrier IQ 監視程式",https://blog-legacy.yuaner.tw/old/%e9%97%9c%e6%96%bccarrier-iq-%e7%9b%a3%e8%a6%96%e7%a8%8b%e5%bc%8f/,未整理舊文,https://blog-legacy.yuaner.tw/category/old/,"Android, HTC Desire HD, 軟體相關","https://blog-legacy.yuaner.tw/tag/android/, https://blog-legacy.yuaner.tw/tag/htc-desire-hd/, https://blog-legacy.yuaner.tw/tag/software/",元兒～,"2011-12-08 23:29:00","2018-12-11 01:59:43",Publish
